ID,total_min,high_min,med_min,low_min,rest_min,prop_high,prop_med,prop_low,prop_rest,Name
Finn,230.995,0.0183333333333333,0.0506666666666667,72.3926666666667,158.533333333333,7.9366797261124e-05,0.000219340966976197,0.313394950828662,0.686306341407101,Annett_Bettong
Piper,291.529333333333,0.00133333333333333,0.0616666666666667,74.526,216.940333333333,4.57358207521713e-06,0.000211528170978792,0.255638083303224,0.744145814943722,Annett_Bettong
Flip,2.06533333333333,0.000666666666666667,0.00366666666666667,0.663333333333333,1.39766666666667,0.000322788896061975,0.00177533892834087,0.321174951581666,0.676726920593932,Annett_Glider
Gilberta,2.84866666666667,0,0.000666666666666667,0.740333333333333,2.10766666666667,0,0.000234027615258601,0.259887666744676,0.739878305640066,Annett_Glider
Big_Cahuna_Collar3,94.142,0,0.0106666666666667,22.5486666666667,71.5826666666667,0,0.000113304015919214,0.239517608152224,0.760369087831857,Annett_Kangaroo
Gramps_collar2,93.163,0,0.00833333333333333,31.5826666666667,61.572,0,8.94489586352236e-05,0.339004397310807,0.660906153730558,Annett_Kangaroo
Gully_Rat_Collar6,93.9303333333333,0,0,22.6203333333333,71.31,0,0,0.240820324282891,0.75917967571711,Annett_Kangaroo
Lola_Collar15,96.2706666666667,0,0.00133333333333333,26.493,69.7763333333333,0,1.38498400343476e-05,0.275192859022478,0.724793291137487,Annett_Kangaroo
Munchies_Collar5,91.5266666666667,0.000333333333333333,0.00466666666666667,32.039,59.4826666666667,3.64192585038969e-06,5.09869619054556e-05,0.350050986961905,0.649894384150339,Annett_Kangaroo
Romeo_Collar14,94.626,0.000666666666666667,0.0663333333333333,33.7,60.859,7.04528001465418e-06,0.000701005361458091,0.356138904740769,0.643153044617758,Annett_Kangaroo
Sleey_Dave_Collar10,63.797,0,0.00866666666666667,11.5603333333333,52.228,0,0.000135847558140142,0.181204967840703,0.818659184601157,Annett_Kangaroo
Windy_collar9,95.7583333333333,0,0,8.39133333333333,87.367,0,0,0.0876303193803846,0.912369680619615,Annett_Kangaroo
41587_Larry_2207_2707,203.522666666667,0,0.0243333333333333,28.753,174.745333333333,0,0.000119560802400388,0.141276647318562,0.858603791879037,Annett_Possum
47056_Damien_2207_0507,398.490666666667,0,0.000333333333333333,85.5273333333333,312.963,0,8.36489687755129e-07,0.214628197063587,0.785370966446726,Annett_Possum
47607_Hughey_1308_0309,793.444,0,0.000333333333333333,127.693666666667,665.75,0,4.20109463721867e-07,0.160935953472037,0.8390636264185,Annett_Possum
48835_Joe,53.3576666666667,0.003,0.00766666666666667,11.234,42.113,5.62243476413886e-05,0.000143684443972438,0.210541440467787,0.7892586507406,Annett_Possum
Snowpea_210524,2.17433333333333,0.00266666666666667,0.02,1.56533333333333,0.586333333333333,0.00122642955695232,0.00919822167714242,0.719914149931013,0.269661198834892,Annett_Wallaby
faya,0.101601601601602,0.0025025025025025,0.00400400400400401,0.0950950950950951,0,0.0246305418719212,0.0394088669950739,0.935960591133005,0,Buchmann_Camel
kiara,0.148648648648649,0.0035035035035035,0.00400400400400401,0.141141141141141,0,0.0235690235690236,0.0269360269360269,0.949494949494949,0,Buchmann_Camel
renate,0.0335335335335335,0,0,0.0335335335335335,0,0,0,1,0,Buchmann_Camel
85112,0.0860860860860861,0,0,0.0860860860860861,0,0,0,1,0,Buchmann_CameroonSheep
89559,0.0920920920920921,0,0.0015015015015015,0.0905905905905906,0,0,0.016304347826087,0.983695652173913,0,Buchmann_CameroonSheep
89560,0.0685685685685686,0.000500500500500501,0,0.0680680680680681,0,0.0072992700729927,0,0.992700729927007,0,Buchmann_CameroonSheep
671810,0.212212212212212,0,0.01001001001001,0.202202202202202,0,0,0.0471698113207547,0.952830188679245,0,Buchmann_CameroonSheep
bellis,0.181681681681682,0.0015015015015015,0.0015015015015015,0.164664664664665,0.014014014014014,0.00826446280991736,0.00826446280991736,0.90633608815427,0.0771349862258953,Buchmann_Cow
cosima,0.601601601601602,0,0,0.378878878878879,0.222722722722723,0,0,0.629783693843594,0.370216306156406,Buchmann_Cow
dana,0.923423423423424,0.000500500500500501,0.0635635635635636,0.859359359359359,0,0.000542005420054201,0.0688346883468835,0.930623306233062,0,Buchmann_Cow
deborah,0.295295295295295,0,0.001001001001001,0.294294294294294,0,0,0.00338983050847458,0.996610169491525,0,Buchmann_Cow
funkie,0.167167167167167,0,0,0.15015015015015,0.017017017017017,0,0,0.898203592814371,0.101796407185629,Buchmann_Cow
jolie,0.0355355355355355,0,0.001001001001001,0.0345345345345345,0,0,0.028169014084507,0.971830985915493,0,Buchmann_Cow
briese,0.131631631631632,0.00650650650650651,0.018018018018018,0.107107107107107,0,0.0494296577946768,0.136882129277567,0.813688212927757,0,Buchmann_Donkey
hatari,0.116116116116116,0.00450450450450451,0.00450450450450451,0.107107107107107,0,0.0387931034482759,0.0387931034482759,0.922413793103448,0,Buchmann_Donkey
nepomuk,0.149149149149149,0.011011011011011,0.0205205205205205,0.117617617617618,0,0.0738255033557047,0.13758389261745,0.788590604026846,0,Buchmann_Donkey
18912,0.305305305305305,0.000500500500500501,0.002002002002002,0.302802802802803,0,0.00163934426229508,0.00655737704918033,0.991803278688525,0,Buchmann_DwarfGoat
518024,0.0970970970970971,0,0,0.0970970970970971,0,0,0,1,0,Buchmann_DwarfGoat
black,0.118618618618619,0.000500500500500501,0.0015015015015015,0.116616616616617,0,0.00421940928270042,0.0126582278481013,0.983122362869198,0,Buchmann_Goat
bolle,0.231731731731732,0.000500500500500501,0.003003003003003,0.228228228228228,0,0.0021598272138229,0.0129589632829374,0.98488120950324,0,Buchmann_Goat
lilli,0.425425425425425,0.0025025025025025,0.016016016016016,0.406906906906907,0,0.00588235294117647,0.0376470588235294,0.956470588235294,0,Buchmann_Goat
linus,0.304804804804805,0.001001001001001,0.00550550550550551,0.293293293293293,0.00500500500500501,0.00328407224958949,0.0180623973727422,0.962233169129721,0.0164203612479475,Buchmann_Goat
ulla,0.152152152152152,0.00450450450450451,0.0315315315315315,0.116116116116116,0,0.0296052631578947,0.207236842105263,0.763157894736842,0,Buchmann_Goat
geronimo,0.101101101101101,0.0015015015015015,0.0115115115115115,0.0880880880880881,0,0.0148514851485149,0.113861386138614,0.871287128712871,0,Buchmann_Horse
marek,0.121621621621622,0.001001001001001,0.003003003003003,0.117617617617618,0,0.00823045267489712,0.0246913580246914,0.967078189300411,0,Buchmann_Horse
mephisto,0.0970970970970971,0,0.00600600600600601,0.0910910910910911,0,0,0.0618556701030928,0.938144329896907,0,Buchmann_Horse
nevada,0.0770770770770771,0.001001001001001,0.0015015015015015,0.0745745745745746,0,0.012987012987013,0.0194805194805195,0.967532467532468,0,Buchmann_Horse
4,1.11461461461461,0.001001001001001,0.000500500500500501,1.11311311311311,0,0.000898069151324652,0.000449034575662326,0.998652896273013,0,Buchmann_MerinoSheep
6,0.288788788788789,0,0,0.287787787787788,0.001001001001001,0,0,0.996533795493934,0.00346620450606586,Buchmann_MerinoSheep
8,1.12762762762763,0,0,1.03303303303303,0.0945945945945946,0,0,0.916111850865513,0.0838881491344874,Buchmann_MerinoSheep
15,0.759259259259259,0,0,0.204704704704705,0.554554554554555,0,0,0.269611074489123,0.730388925510877,Buchmann_MerinoSheep
17,0.551051051051051,0,0,0.548548548548549,0.0025025025025025,0,0,0.995458673932788,0.00454132606721163,Buchmann_MerinoSheep
viska,0.0805805805805806,0.0015015015015015,0.001001001001001,0.0780780780780781,0,0.0186335403726708,0.0124223602484472,0.968944099378882,0,Buchmann_Mule
619,0.191191191191191,0,0,0.191191191191191,0,0,0,1,0,Buchmann_Pig
643,0.0405405405405405,0.000500500500500501,0.001001001001001,0.039039039039039,0,0.0123456790123457,0.0246913580246914,0.962962962962963,0,Buchmann_Pig
660,0.124124124124124,0,0,0.124124124124124,0,0,0,1,0,Buchmann_Pig
specki,0.112612612612613,0,0,0.112612612612613,0,0,0,1,0,Buchmann_Pig
tommy,0.108108108108108,0,0,0.108108108108108,0,0,0,1,0,Buchmann_Pig
B1,0.192833333333333,5e-04,0.003,0.097,0.0923333333333333,0.00259291270527226,0.0155574762316335,0.503025064822818,0.478824546240277,Clemente_Echidna
B2,0.098,5e-04,0.003,0.0595,0.035,0.00510204081632653,0.0306122448979592,0.607142857142857,0.357142857142857,Clemente_Echidna
Frank,0.152166666666667,0.00166666666666667,0.004,0.068,0.0785,0.0109529025191676,0.0262869660460022,0.446878422782037,0.515881708652793,Clemente_Echidna
Green,0.0803333333333333,0.000833333333333333,0.00166666666666667,0.0306666666666667,0.0471666666666667,0.0103734439834025,0.020746887966805,0.381742738589212,0.587136929460581,Clemente_Echidna
Orange,0.1815,0.000666666666666667,0.00333333333333333,0.1215,0.056,0.00367309458218549,0.0183654729109275,0.669421487603306,0.308539944903581,Clemente_Echidna
2,99.3216666666667,0,0.00233333333333333,38.5966666666667,60.7226666666667,0,2.34926920947091e-05,0.388602688235195,0.61137381907271,Clemente_Impala
3,103.593666666667,0.000333333333333333,0.0163333333333333,24.686,78.891,3.21769992374051e-06,0.000157667296263285,0.238296420952375,0.761542694051438,Clemente_Impala
5,103.912,0.000333333333333333,0.006,24.387,79.5186666666667,3.20784253342572e-06,5.7741165601663e-05,0.234688967587959,0.765250083403906,Clemente_Impala
6,104.727666666667,0.00133333333333333,0.008,28.6013333333333,76.117,1.2731433591251e-05,7.63886015475058e-05,0.273101981965924,0.726808897998937,Clemente_Impala
7,106.51,0,0.0123333333333333,32.6456666666667,73.852,0,0.000115795074014959,0.306503301724408,0.693380903201577,Clemente_Impala
8,109.054,0.004,0.019,38.1313333333333,70.8996666666667,3.66790764208557e-05,0.000174225612999065,0.349655522340614,0.650133572969966,Clemente_Impala
9,126.792,0.00333333333333333,0.0956666666666667,42.344,84.349,2.62897764317412e-05,0.000754516583590973,0.333964287967695,0.665254905672282,Clemente_Impala
10,125.074333333333,0,0.00133333333333333,32.524,92.549,0,1.06603273253505e-05,0.260037364447275,0.739951975225399,Clemente_Impala
12,105.126,0,0.0103333333333333,42.926,62.1896666666667,0,9.82947447190356e-05,0.408329052755741,0.59157265249954,Clemente_Impala
13,102.272666666667,0,0.001,19.3783333333333,82.8933333333334,0,9.77778357201989e-06,0.189477149319792,0.810513072896636,Clemente_Impala
14,105.247,0,0.013,19.0926666666667,86.1413333333333,0,0.000123518960160385,0.181408179488885,0.818468301550955,Clemente_Impala
15,101.863,0,0.000333333333333333,15.1286666666667,86.734,0,3.2723690970552e-06,0.148519743838947,0.851476983791956,Clemente_Impala
6017913_0000000000,5.66666666666667,0.003,0.0266666666666667,2.30633333333333,3.33066666666667,0.000529411764705882,0.00470588235294118,0.407,0.587764705882353,Clemente_Kudu
barb,7.98333333333333,0,0.0283333333333333,5.045,2.91,0,0.00354906054279749,0.631941544885177,0.364509394572025,Dickinson_Goat
bett,6.145,0.00166666666666667,0.0116666666666667,4.60333333333333,1.52833333333333,0.00027122321670735,0.00189856251695145,0.749118524545701,0.24871168972064,Dickinson_Goat
devi,4.375,0,0.00333333333333333,2.04333333333333,2.32833333333333,0,0.000761904761904762,0.467047619047619,0.532190476190476,Dickinson_Goat
hann,8.2,0,0.01,6.44833333333333,1.74166666666667,0,0.00121951219512195,0.786382113821138,0.21239837398374,Dickinson_Goat
pixi,8.97666666666667,0.00166666666666667,0.00833333333333333,2.75833333333333,6.20833333333333,0.000185666542888971,0.000928332714444857,0.307278128481248,0.691607872261419,Dickinson_Goat
popp,11.2233333333333,0,0.0116666666666667,6.08166666666667,5.13,0,0.00103950103950104,0.541877041877042,0.457083457083457,Dickinson_Goat
prim,7.65,0.00333333333333333,0.0233333333333333,5.20833333333333,2.415,0.000435729847494553,0.00305010893246187,0.68082788671024,0.315686274509804,Dickinson_Goat
shel,8.11,0.00166666666666667,0.005,4.47833333333333,3.625,0.00020550760378134,0.00061652281134402,0.55219893136046,0.446979038224414,Dickinson_Goat
wilm,2.83333333333333,0,0,1.65666666666667,1.17666666666667,0,0,0.584705882352941,0.415294117647059,Dickinson_Goat
bern,9.81166666666667,0,0.00333333333333333,3.715,6.09333333333333,0,0.000339731612026499,0.378630881603533,0.62102938678444,Dickinson_Ibex
dais,7.39333333333333,0,0.0116666666666667,4.86166666666667,2.52,0,0.00157799819657349,0.657574391343553,0.340847610459874,Dickinson_Ibex
eliz,8.24333333333333,0.00333333333333333,0.0116666666666667,4.14666666666667,4.08166666666667,0.000404367165386171,0.0014152850788516,0.503032753740396,0.495147594015366,Dickinson_Ibex
elli,8.87333333333333,0,0.015,6.69333333333333,2.165,0,0.00169045830202855,0.754320060105184,0.243989481592787,Dickinson_Ibex
gree,10.6283333333333,0,0.0116666666666667,2.7,7.91666666666667,0,0.00109769484083425,0.254037948878783,0.744864356280383,Dickinson_Ibex
lily,6.88666666666667,0,0.00833333333333333,3.41833333333333,3.46,0,0.00121006776379477,0.496369796708616,0.50242013552759,Dickinson_Ibex
1302,3.658,0.00666666666666667,0.0846666666666667,1.076,2.49066666666667,0.00182248952068526,0.0231456169127028,0.2941498086386,0.680882084928012,Dissanayake_Calf
1303,3.65733333333333,0.00333333333333333,0.0253333333333333,1.39266666666667,2.236,0.000911410864017499,0.00692672256653299,0.380787458986511,0.611374407582938,Dissanayake_Calf
1306,2.876,0.00266666666666667,0.0653333333333333,1.48333333333333,1.32466666666667,0.000927213722763097,0.0227167362076959,0.515762633286973,0.460593416782568,Dissanayake_Calf
1308,4.21133333333333,0.000666666666666667,0.106,1.512,2.59266666666667,0.000158302991926547,0.025170175716321,0.35903118568941,0.615640335602343,Dissanayake_Calf
1312,2.63933333333333,0.000666666666666667,0.0493333333333333,1.21933333333333,1.37,0.000252589037635767,0.0186915887850467,0.461985349835817,0.5190704723415,Dissanayake_Calf
1314,3.60533333333333,0.00133333333333333,0.042,2.00533333333333,1.55666666666667,0.000369822485207101,0.0116494082840237,0.556213017751479,0.43176775147929,Dissanayake_Calf
1319,2.59733333333333,0.008,0.044,1.00066666666667,1.54466666666667,0.00308008213552361,0.0169404517453799,0.385266940451745,0.594712525667351,Dissanayake_Calf
1320,2.95,0.002,0.0626666666666667,1.61133333333333,1.274,0.000677966101694915,0.0212429378531073,0.546214689265537,0.431864406779661,Dissanayake_Calf
1328,1.33666666666667,0.00133333333333333,0.02,0.346,0.969333333333333,0.000997506234413965,0.0149625935162095,0.258852867830424,0.725187032418953,Dissanayake_Calf
1329,0.643333333333333,0,0.00266666666666667,0.388666666666667,0.252,0,0.00414507772020725,0.604145077720207,0.391709844559586,Dissanayake_Calf
1333,1.614,0.00133333333333333,0.0106666666666667,0.778,0.824,0.000826104915324246,0.00660883932259397,0.482032218091698,0.510532837670384,Dissanayake_Calf
1335,0.244,0.00266666666666667,0.018,0.116666666666667,0.106666666666667,0.0109289617486339,0.0737704918032787,0.478142076502732,0.437158469945355,Dissanayake_Calf
1336,1.642,0,0.054,0.988,0.6,0,0.0328867235079172,0.601705237515225,0.365408038976857,Dissanayake_Calf
1343,1.95866666666667,0.000666666666666667,0.0706666666666667,0.93,0.957333333333333,0.000340367597004765,0.0360789652825051,0.474812797821647,0.488767869298843,Dissanayake_Calf
1351,1.436,0,0.0113333333333333,0.327333333333333,1.09733333333333,0,0.00789229340761374,0.22794800371402,0.764159702878366,Dissanayake_Calf
1353,1.56266666666667,0.00133333333333333,0.04,0.922666666666667,0.598666666666667,0.000853242320819113,0.0255972696245734,0.590443686006826,0.383105802047782,Dissanayake_Calf
1357,1.93133333333333,0,0.0486666666666667,1.11466666666667,0.768,0,0.0251984811874353,0.577148774594408,0.397652744218157,Dissanayake_Calf
1372,1.64066666666667,0,0.0346666666666667,1.00666666666667,0.599333333333333,0,0.0211296221048354,0.61357171881349,0.365298659081674,Dissanayake_Calf
1398,1.37066666666667,0.000666666666666667,0.0606666666666667,0.957333333333333,0.352,0.000486381322957199,0.0442607003891051,0.698443579766537,0.256809338521401,Dissanayake_Calf
1403,4.36933333333333,0,0,0.242666666666667,4.12666666666667,0,0,0.0555386023802258,0.944461397619774,Dissanayake_Calf
1405,3.01533333333333,0.00333333333333333,0.02,0.406,2.586,0.0011054609772275,0.00663276586336502,0.13464514702631,0.857616626133098,Dissanayake_Calf
1408,2.00733333333333,0.000666666666666667,0.00133333333333333,0.974,1.03133333333333,0.000332115576220525,0.000664231152441049,0.485220856858187,0.513782796413152,Dissanayake_Calf
1409,0.73,0,0,0.490666666666667,0.239333333333333,0,0,0.672146118721461,0.327853881278539,Dissanayake_Calf
1416,0.551333333333333,0,0.02,0.393333333333333,0.138,0,0.0362756952841596,0.713422007255139,0.250302297460701,Dissanayake_Calf
1433,1.722,0,0,0.213333333333333,1.50866666666667,0,0,0.123886953155246,0.876113046844754,Dissanayake_Calf
1443,2.654,0.00266666666666667,0.064,1.594,0.993333333333333,0.00100477267018337,0.0241145440844009,0.60060286360211,0.374277819643306,Dissanayake_Calf
1444,1.22933333333333,0,0,0.279333333333333,0.95,0,0,0.227223427331887,0.772776572668113,Dissanayake_Calf
1449,1.26666666666667,0,0,0.253333333333333,1.01333333333333,0,0,0.2,0.8,Dissanayake_Calf
1452,2.188,0,0.0146666666666667,0.418,1.75533333333333,0,0.00670322973796466,0.191042047531993,0.802254722730043,Dissanayake_Calf
1455,4.49066666666667,0.000666666666666667,0.0226666666666667,0.889333333333333,3.578,0.000148456057007126,0.00504750593824228,0.198040380047506,0.796763657957245,Dissanayake_Calf
F1,0.39625,0,0,0.259166666666667,0.137083333333333,0,0,0.654048370136698,0.345951629863302,Dunford_Cat
F2,0.05875,0.0025,0.00583333333333333,0.04125,0.00916666666666667,0.0425531914893617,0.099290780141844,0.702127659574468,0.156028368794326,Dunford_Cat
F3,0.140416666666667,0,0,0.0370833333333333,0.103333333333333,0,0,0.264094955489614,0.735905044510386,Dunford_Cat
F4,0.3475,0,0,0.0308333333333333,0.316666666666667,0,0,0.0887290167865707,0.911270983213429,Dunford_Cat
M1,0.05,0,0,0.0283333333333333,0.0216666666666667,0,0,0.566666666666667,0.433333333333333,Dunford_Cat
M2,0.0733333333333333,0,0,0.0433333333333333,0.03,0,0,0.590909090909091,0.409090909090909,Dunford_Cat
M3,0.0616666666666667,0,0.000416666666666667,0.0608333333333333,0.000416666666666667,0,0.00675675675675676,0.986486486486486,0.00675675675675676,Dunford_Cat
M4,0.0241666666666667,0.000416666666666667,0,0.0233333333333333,0.000416666666666667,0.0172413793103448,0,0.96551724137931,0.0172413793103448,Dunford_Cat
M5,0.204166666666667,0,0,0.0304166666666667,0.17375,0,0,0.148979591836735,0.851020408163265,Dunford_Cat
Coco_1,54.4536666666667,0,0.00366666666666667,6.37433333333333,48.0756666666667,0,6.73355329607434e-05,0.117059763346209,0.882872901120831,Galea_Cat
Freddie_1,55.7026666666667,0,0.000333333333333333,4.60066666666667,51.1016666666667,0,5.98415396031309e-06,0.0825932929602413,0.917400722885798,Galea_Cat
Jaya_1,58.6666666666667,0.000333333333333333,0.00233333333333333,5.10366666666667,53.5603333333333,5.68181818181818e-06,3.97727272727273e-05,0.0869943181818182,0.912960227272727,Galea_Cat
Jett_1,57.044,0.002,0.0276666666666667,12.2353333333333,44.779,3.50606549330342e-05,0.000485005726573639,0.214489399995325,0.784990533623168,Galea_Cat
Juliet_1,54.4476666666667,0.00666666666666667,0.0173333333333333,7.246,47.1776666666667,0.000122441733040289,0.000318348505904753,0.133081919641491,0.866477290119564,Galea_Cat
Maple_1,55.9253333333333,0,0.00366666666666667,3.87033333333333,52.0513333333333,0,6.55636086210185e-05,0.0692053690635133,0.930729067327866,Galea_Cat
Maple_2,23.8626666666667,0,0.000666666666666667,1.61566666666667,22.2463333333333,0,2.79376431804213e-05,0.067706878247751,0.932265184109069,Galea_Cat
Max_1,56.491,0.00133333333333333,0.042,10.7453333333333,45.7023333333333,2.3602579761968e-05,0.000743481262501992,0.1902131903017,0.809019725856036,Galea_Cat
Obi_1,50.953,0,0.00266666666666667,5.74,45.2103333333333,0,5.2335812742462e-05,0.112652836928149,0.887294827259108,Galea_Cat
Romeo_1,55.911,0.000333333333333333,0.008,8.53633333333333,47.3663333333333,5.96185604502394e-06,0.000143084545080575,0.152677171457018,0.847173782141857,Galea_Cat
Skippy_1,56.5026666666667,0,0.00333333333333333,4.68633333333333,51.813,0,5.89942657573684e-05,0.0829400382282842,0.917000967505959,Galea_Cat
Timmy_1,55.8283333333333,0,0.00266666666666667,10.3576666666667,45.468,0,4.77654715347643e-05,0.185527062124966,0.814425172403499,Galea_Cat
Cayless,56.212,0.003,0.0316666666666667,19.7106666666667,36.4666666666667,5.33693873194336e-05,0.000563343532816243,0.350648734552527,0.648734552527337,Gaschk_Quoll
Disgrace,28.5966666666667,0.00133333333333333,0.0113333333333333,6.781,21.803,4.6625480825271e-05,0.000396316587014804,0.237125539107122,0.762431518825038,Gaschk_Quoll
Grapes,19.7716666666667,0.000333333333333333,0.00566666666666667,10.423,9.34266666666667,1.68591418696788e-05,0.00028660541178454,0.527168507122988,0.472528028323358,Gaschk_Quoll
Klemmer,13.9586666666667,0,0.00233333333333333,7.48133333333333,6.475,0,0.00016716018721941,0.535963320278919,0.463869519533862,Gaschk_Quoll
Maloney,5.96,0.000666666666666667,0.00333333333333333,3.35333333333333,2.60266666666667,0.000111856823266219,0.000559284116331096,0.562639821029083,0.43668903803132,Gaschk_Quoll
Moimoi,41.8366666666667,0,0.00933333333333333,19.6656666666667,22.1616666666667,0,0.000223089793641941,0.4700581626962,0.529718747510159,Gaschk_Quoll
Moon,6.68566666666667,0.000333333333333333,0.006,3.287,3.39233333333333,4.98579049708331e-05,0.000897442289474996,0.491648800917386,0.507403898888169,Gaschk_Quoll
Shillington,13.502,0.000333333333333333,0.00733333333333333,5.21533333333333,8.279,2.46877005875673e-05,0.00054312941292648,0.386263763393078,0.613168419493408,Gaschk_Quoll
Shillington2,5.66866666666667,0,0.000333333333333333,2.44266666666667,3.22566666666667,0,5.88027754910032e-05,0.430906738798071,0.569034458426438,Gaschk_Quoll
Snowshoe,13.3263333333333,0,0.00966666666666667,7.162,6.15466666666667,0,0.00072538082493309,0.537432151879737,0.46184246729533,Gaschk_Quoll
Sphynx,19.432,0,0.0126666666666667,5.51466666666667,13.9046666666667,0,0.000651845752710306,0.28379305612735,0.715555098119939,Gaschk_Quoll
Tedesco,12.9186666666667,0.00166666666666667,0.00333333333333333,4.36033333333333,8.55333333333334,0.000129012281969243,0.000258024563938487,0.337521932087935,0.662091031066158,Gaschk_Quoll
Unknown QUOLL,98.374,0.001,0.038,32.6996666666667,65.6353333333333,1.01652875759855e-05,0.00038628092788745,0.332401515305535,0.667202038479002,Gaschk_Quoll
Wolfram,62.102,0.00733333333333333,0.0193333333333333,13.961,48.1143333333333,0.00011808530052709,0.000311315792298691,0.224807574635277,0.774763024271897,Gaschk_Quoll
1,39.7888888888889,0,0.00333333333333333,27.8516666666667,11.9338888888889,0,8.37754817090198e-05,0.699986037419715,0.299930187098576,Harris_Sheep
2,34.6,0.000555555555555556,0.00555555555555555,24.9772222222222,9.61666666666667,1.60565189466924e-05,0.000160565189466924,0.721885035324342,0.277938342967245,Harris_Sheep
3,37.2055555555556,0,0.00555555555555555,24.5544444444445,12.6455555555556,0,0.000149320591309542,0.659967149469912,0.339883529938779,Harris_Sheep
4,31.8388888888889,0,0.005,18.2183333333333,13.6155555555556,0,0.000157040656080963,0.572203803873669,0.42763915547025,Harris_Sheep
5,16.4666666666667,0,0.000555555555555556,11.2494444444444,5.21666666666667,0,3.37381916329285e-05,0.683164642375169,0.316801619433198,Harris_Sheep
6,32.3277777777778,0,0,21.9588888888889,10.3688888888889,0,0,0.679257604399381,0.320742395600619,Harris_Sheep
7,30.9388888888889,0.000555555555555556,0.00166666666666667,22.0172222222222,8.91944444444444,1.79565451607111e-05,5.38696354821332e-05,0.711635841264141,0.288292332555216,Harris_Sheep
8,31.5333333333333,0.00166666666666667,0.000555555555555556,21.0511111111111,10.48,5.28541226215645e-05,1.76180408738548e-05,0.667582804792107,0.332346723044397,Harris_Sheep
9,33.9166666666667,0.00111111111111111,0.005,25.045,8.86555555555555,3.27600327600328e-05,0.000147420147420147,0.738427518427519,0.261392301392301,Harris_Sheep
10,25.6333333333333,0.000555555555555556,0.00333333333333333,15.2061111111111,10.4233333333333,2.16731686172518e-05,0.000130039011703511,0.5932162982228,0.406631989596879,Harris_Sheep
S006,2.725,0,0,0.547333333333333,2.17766666666667,0,0,0.20085626911315,0.79914373088685,HARTH_Human
